Sentence,Rough_POS,Detailed_POS,Lemmatized_Sentence
"Kasabay ng eleksyon ay ang pagusbong ng media at ang paggamit nito para sa politkal na dahilan, sa tamang paraan man o sa mali.",JJ.* CC.* NN.* LM DT.* NN.* CC.* NN.* CC.* DT.* NN.* PR.* CC.* CC.* NN.* CC.* NN.* PM.* CC.* JJ.*_CC.* NN.* RB.* CC.* CC.* JJ.* PM.*,JJD CCB NNC LM DTC NNC CCB NNC CCA DTC NNC PRO CCT CCT NNC CCP NNC PMC CCT JJD_CCP NNC RBI CCT CCT JJD PMP,"sabay ng eleksyon ay ang usbong ng media at ang gamit nito para sa politkal na dahilan, sa tama paraan man o sa mali.",
"Makikita ito sa mga pagdami ng impormasyon sa social media sites patungkol sa eleksyon at sa mga kandidatong tatakbo rito, mga palatastas na nagtataguyod ng isang partido o isang politiko,  fake news at mga paninira laban sa magkakalabang panig, manipulasyon ng inilalabas na impormasyon, at pagbabago ng pananaw sa kung anong katanggap-tanggap na impormasyon.",VB.* PR.* CC.* DT.* NN.* CC.* NN.* CC.* FW FW FW RB.* CC.* NN.* CC.* CC.* DT.* NN.*_CC.* VB.* PR.* PM.* DT.* NN.* CC.* VB.* CC.* PR.*_CC.* NN.* CC.* PR.*_CC.* NN.* PM.* NN.* NN.* CC.* DT.* NN.* NN.* CC.* JJ.*_CC.* NN.* PM.* NN.* CC.* VB.* CC.* NN.* PM.* CC.* NN.* CC.* NN.* CC.* RB.* RB.*_CC.* NN.* PM.* JJ.* CC.* NN.* PM.*,VBTF PRO CCT DTCP NNC CCB NNC CCT FW FW FW RBR CCT NNC CCA CCT DTCP NNC_CCP VBTF PRL PMC DTCP NNC CCP VBTR CCB PRI_CCP NNC CCT PRI_CCP NNC PMC NNC NNC CCA DTCP NNC NNC CCT JJD_CCP NNC PMC NNC CCB VBTR CCP NNC PMC CCA NNC CCB NNC CCT RBK RBQ_CCP NNC PMS JJD CCP NNC PMP,"kita ito sa mga dami ng impormasyon sa social media sites tungkol sa eleksyon at sa mga kandidato takbo rito, mga palatastas na taguyod ng isa partido o isa politiko, fake news at mga paninira laban sa labang panig, manipulasyon ng labas na impormasyon, at bago ng pananaw sa kung ano tanggap na impormasyon.",
"Sa isang libro na sinulat ni Carlson, Robinson, at Lewis (2021) na nilalayong suriin ang naging epekto ng administasyong Trump sa industriya ng pamamahayag, nakita na dahil sa pagkatatag ng pagkakahiwalay sa ideyolohiya ng mga mamboboto ay nagkaroon ng kilusang right-winged na layon ang mga karamihan ng publiko na binubuo lamang ng mga ordinaryong mamamayan.",CC.* PR.*_CC.* NN.* CC.* VB.* DT.* NN.* PM.* NN.* PM.* CC.* NN.* NN.* CD.* NN.* CC.* RB.*_CC.* VB.* DT.* VB.* NN.* CC.* NN.*_CC.* NN.* CC.* NN.* CC.* NN.* PM.* VB.* CC.* CC.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* LM VB.* CC.* NN.*_CC.* FW PM.* FW CC.* NN.* DT.* DT.* PR.* CC.* NN.* CC.* VB.* RB.* CC.* DT.* JJ.*_CC.* NN.* PM.*,CCT PRI_CCP NNC CCP VBTS DTP NNP PMC NNP PMC CCA NNP NNPA CDB NNPA CCP RBD_CCP VBOF DTC VBTS NNC CCB NNC_CCP NNP CCT NNC CCB NNC PMC VBTS CCP CCR CCT NNC CCB NNC CCT NNC CCB DTCP NNC LM VBTS CCB NNC_CCP FW PMS FW CCP NNC DTC DTCP PRI CCB NNC CCP VBTR RBI CCB DTCP JJD_CCP NNC PMP,"sa isa libro na sulat ni carlson, robinson, at lewis (2021) na layo suri ang naging epekto ng administasyong trump sa industriya ng pamamahayag, kita na dahil sa tatag ng hiwalay sa ideyolohiya ng mga mamboboto ay roon ng kilusang right-winged na layon ang mga rami ng publiko na binubuo lamang ng mga ordinaryo mamamayan.",
"nakita sa kanilang pagsusuri na dahil sa pagtaas ng gamit sa social media, nabago nito ang pananaw kung aling balita ang karapat-dapat maisapubliko at kung sino ang paniniwalaan.",VB.* CC.* PR.*_CC.* NN.* CC.* CC.* CC.* VB.* CC.* VB.* CC.* FW FW PM.* VB.* PR.* DT.* NN.* CC.* PR.*_CC.* NN.* DT.* NN.* PM.* VB.* VB.* CC.* RB.* RB.* DT.* NN.* PM.*,VBTS CCT PRSP_CCP NNC CCP CCR CCT VBW CCB VBW CCT FW FW PMC VBTS PRO DTC NNC CCR PRQ_CCP NNC DTC NNC PMS VBS VBW CCA RBK RBQ DTC NNC PMP,"kita sa kanila suri na dahil sa taas ng gamit sa social media, bago nito ang pananaw kung aling balita ang dapat maisapubliko at kung sino ang paniniwalaan.",
Dumagdag pa dito ang matagal nang nagyayaring pagbaba ng tiwala sa mismong industriya na ito na nagiging dahilan ng pagbaba.,VB.* RB.* PR.* DT.* RB.* RB.* RB.*_CC.* VB.* CC.* NN.* CC.* RB.*_CC.* NN.* CC.* PR.* CC.* VB.* NN.* CC.* NN.* PM.*,VBAF RBI PRL DTC RBD RBD RBD_CCP VBW CCB NNC CCT RBT_CCP NNC CCP PRO CCP VBTR NNC CCB NNC PMP,dagdag pa dito ang tagal nang yari baba ng tiwala sa mismo industriya na ito na igi dahilan ng pagbaba.,
"Ngunit napataas naman nito ang partisipasyon ng mga mamayan sa usapang politikal at sa pagboto mismo (Vaccari & Valerani, 2021).",CC.* VB.* RB.* PR.* DT.* NN.* CC.* DT.* NN.* CC.* NN.*_CC.* JJ.* CC.* CC.* NN.* RB.* NN.* NN.* PM.* NN.* PM.* CD.* NN.* PM.*,CCT VBTS RBI PRO DTC NNC CCB DTCP NNC CCT NNC_CCP JJD CCA CCT NNC RBT NNPA NNP PMS NNP PMC CDB NNPA PMP,"ngunit taas naman nito ang partisipasyon ng mga may sa usapang politikal at sa boto mismo (vaccari & valerani, 2021).",
Makikita dito na malaki ang epekto ng midya sa sosyopolitkal na sitwasyon sa pilipinas.,VB.* PR.* CC.* JJ.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,VBTF PRL CCP JJD DTC NNC CCB NNC CCT NNC CCP NNC CCT NNC PMP,kita dito na laki ang epekto ng midya sa sosyopolitkal na sitwasyon sa pilipinas.,
"Malaki ang epekto ng midya sa pananaw ng publiko sa kasalukuyang sitwason ito ang ika nga, naghahasa ng politikal na kultura ng isang bansa (Guzun, 2021).",JJ.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* RB.*_CC.* NN.* PR.* DT.* JJ.* RB.* PM.* VB.* CC.* JJ.* CC.* NN.* CC.* PR.*_CC.* NN.* NN.* NN.* PM.* CD.* NN.* PM.*,JJD DTC NNC CCB NNC CCT NNC CCB NNC CCT RBW_CCP NNC PRO DTC JJN RBI PMC VBTR CCB JJD CCP NNC CCB PRI_CCP NNC NNPA NNP PMC CDB NNPA PMP,"laki ang epekto ng midya sa pananaw ng publiko sa kasalukuyang sitwason ito ang ika nga, hasa ng politikal na kultura ng isa bansa (guzun, 2021).",
"Ngunit di na ito bago, napakarami nang beses na ginamit ang midya ng mga mamumuno at kinontrol ng midya ang mismon mamumuno.",CC.* RB.* RB.* PR.* RB.* PM.* JJ.*_JJ.* RB.* NN.* CC.* VB.* DT.* NN.* CC.* DT.* VB.* CC.* VB.* CC.* NN.* DT.* FW VB.* PM.*,CCT RBF RBI PRO RBW PMC JJCS_JJD RBW NNC CCP VBOF DTC NNC CCB DTCP VBW CCA VBOF CCB NNC DTC FW VBW PMP,"ngunit di na ito bago, rami nang beses na gamit ang midya ng mga mamumuno at kontrol ng midya ang mismon mamumuno.",
"Sa panahon ng rehimeng Marcos, tanging midya na kontrolado ng administrasyon ang maaring maipamahagi.",CC.* NN.* CC.* NN.*_CC.* NN.* PM.* JJ.*_CC.* NN.* CC.* JJ.* CC.* NN.* DT.* VB.*_CC.* VB.* PM.*,CCT NNC CCB NNC_CCP NNP PMC JJD_CCP NNC CCP JJD CCB NNC DTC VBS_CCP VBW PMP,"sa panahon ng rehimeng marcos, tangi midya na kontrolado ng administrasyon ang ari maipamahagi.",
"Lahat ng mgapahayagan ay kontrolado ng militar at pinagpapatay din ang mga mamamahayag na magtatangkang sumulat at magpahayag laban sa administrasyon (Elemia, 2020).",PR.* CC.* NN.* LM JJ.* CC.* NN.* CC.* VB.* RB.* DT.* DT.* NN.* CC.* RB.*_CC.* VB.* CC.* VB.* NN.* CC.* NN.* NN.* NN.* PM.* CD.* NN.* PM.*,PRI CCB NNC LM JJD CCB NNC CCA VBRF RBI DTC DTCP NNC CCP RBD_CCP VBAF CCA VBAF NNC CCT NNC NNPA NNP PMC CDB NNPA PMP,"lahat ng mgapahayagan ay kontrolado ng militar at patay din ang mga hayag na tangka sulat at hayag laban sa administrasyon (elemia, 2020).",
"Sa isang pag-aaral naman na inilathala noong 1972 naisinigawa ni Dr. McCombs at Dr. Shaw (1972), nabuo nila ang Agenda-Setting Theory tumutukoy sa kakayahan ng mga naghahatid ng midya na impluwensyahan ang kahalagahan ng isang paksa sa paningin ng publiko.",CC.* PR.*_CC.* CC.* PM.* FW RB.* CC.* VB.* RB.*_CC.* CD.* VB.* DT.* NN.* NN.* CC.* NN.* NN.* NN.* CD.* NN.* PM.* VB.* PR.* DT.* NN.* PM.* NN.* NN.* VB.*_VB.* CC.* NN.* CC.* DT.* VB.* CC.* NN.* CC.* NN.* DT.* NN.* CC.* PR.*_CC.* NN.* CC.* NN.* CC.* NN.* PM.*,CCT PRI_CCP CCR PMS FW RBI CCP VBTS RBW_CCP CDB VBTS DTP NNPA NNP CCA NNPA NNP NNPA CDB NNPA PMC VBTS PRP DTC NNP PMS NNP NNP VBTR_VBAF CCT NNC CCB DTCP VBTR CCB NNC CCP NNC DTC NNC CCB PRI_CCP NNC CCT NNC CCB NNC PMP,"sa isa pag-aaral naman na lathala noo 1972 naisinigawa ni dr. mccombs at dr. shaw (1972), buo nila ang agenda-setting theory tukoy sa kaya ng mga hatid ng midya na impluwensya ang halaga ng isa paksa sa ting ng publiko.",
